response_id,respondent_id,submitted_at,consent,response_source,completion_seconds,questionnaire_version,merch_scope,randomization_group,age_band,region_tier,activity_days_30d,player_tenure_months,monthly_merch_budget,has_purchased_merch,annual_merch_spend,purchase_frequency_12m,fandom_identity,preferred_operator_1,preferred_operator_2,preferred_operator_3,operator,category,purchase_intent,acceptable_price,channel,limited_preference,purchase_motivation,purchase_barrier,authenticity_importance,design_importance,practicality_importance,preorder_tolerance_days,price_too_cheap,price_good_value,price_expensive,price_too_expensive,concept_appeal,concept_uniqueness,product_improvement,open_feedback,is_simulated,data_type,simulation_seed,is_real_survey_response,user_segment
SYN-0012,SYN-U-0012,2026-09-03 02:27:00+00:00,True,simulated_weibo,302,v2.2-synthetic,official_or_licensed_only,B,18～22岁,一线,14,71,70,True,120,3,大学生玩家,焰狐龙梓兰,结城理,黍,焰狐龙梓兰,通行证,3,51,官方商城,4,视觉设计或立绘表现|限定或联名属性|实用功能,价格偏高|发货进度不透明,4,4,3,44,23,46,57,84,3,4,,希望角色立绘还原准确，材质和尺寸说明写清楚。,True,synthetic_persona,20260903,False,occasional_buyer
SYN-0013,SYN-U-0013,2026-09-03 02:35:00+00:00,True,simulated_weibo,350,v2.2-synthetic,official_or_licensed_only,B,18～22岁,新一线,17,3,50,True,230,5,大学生玩家,贝洛内,凛御银灰,归溟幽灵鲨,贝洛内,吧唧（徽章）,3,24,淘宝,4,实用功能|限定或联名属性,预售周期过长|价格偏高|商品缺乏实用性,4,4,4,33,13,20,30,45,4,5,希望官方增加实物细节图，并说明售后和补款规则。,,True,synthetic_persona,20260903,False,core_buyer
SYN-0014,SYN-U-0014,2026-09-03 02:41:00+00:00,True,simulated_weibo,226,v2.2-synthetic,official_or_licensed_only,B,18～22岁,三线及以下,13,26,70,True,590,5,大学生玩家,纯烬艾雅法拉,怒潮凛冬,塑心,纯烬艾雅法拉,亚克力制品,5,69,品牌直播间,5,社交展示或社区认同|视觉设计或立绘表现|喜爱角色,设计不符合预期|价格偏高,4,4,2,52,38,57,84,106,5,4,更愿意购买有实用性的联名商品，不希望只换图重复销售。,更愿意购买有实用性的联名商品，不希望只换图重复销售。,True,synthetic_persona,20260903,False,core_buyer
SYN-0015,SYN-U-0015,2026-09-03 02:46:00+00:00,True,simulated_weibo,480,v2.2-synthetic,official_or_licensed_only,A,18～22岁,三线及以下,13,46,100,True,250,7,大学生玩家,谬因,新约能天使,黍,谬因,日用生活,5,115,官方商城,4,社交展示或社区认同|视觉设计或立绘表现,发货进度不透明|品质或材质不确定|已有同类商品过多,4,5,2,87,60,93,131,166,5,4,价格合理的情况下，希望同系列角色能够持续补全。,价格合理的情况下，希望同系列角色能够持续补全。,True,synthetic_persona,20260903,False,core_buyer
SYN-0016,SYN-U-0016,2026-09-03 02:54:00+00:00,True,simulated_weibo,362,v2.2-synthetic,official_or_licensed_only,A,18～22岁,二线,26,40,90,True,420,4,大学生玩家,黍,荒芜拉普兰德,赤刃明霄陈,黍,亚克力制品,4,57,官方商城,4,收藏完整度|限定或联名属性,已有同类商品过多|预售周期过长|价格偏高,5,5,3,61,27,47,68,103,4,4,希望官方增加实物细节图，并说明售后和补款规则。,更愿意购买有实用性的联名商品，不希望只换图重复销售。,True,synthetic_persona,20260903,False,core_buyer
SYN-0017,SYN-U-0017,2026-09-03 03:04:00+00:00,True,simulated_bilibili,233,v2.2-synthetic,official_or_licensed_only,A,18～22岁,新一线,28,53,50,True,190,8,大学生玩家,予愿安洁莉娜,荒芜拉普兰德,谬因,予愿安洁莉娜,毛绒玩偶,4,70,淘宝,4,限定或联名属性|喜爱角色,发货进度不透明|商品缺乏实用性,4,5,3,109,33,62,92,128,3,4,,,True,synthetic_persona,20260903,False,core_buyer
SYN-0018,SYN-U-0018,2026-09-03 03:11:00+00:00,True,simulated_bilibili,353,v2.2-synthetic,official_or_licensed_only,A,18～22岁,三线及以下,28,21,90,True,790,7,大学生玩家,缄默德克萨斯,维娜·维多利亚,赤刃明霄陈,缄默德克萨斯,亚克力制品,5,73,淘宝,4,喜爱角色|收藏完整度,预售周期过长|品质或材质不确定,5,5,4,54,38,63,89,120,4,4,希望角色立绘还原准确，材质和尺寸说明写清楚。,希望官方增加实物细节图，并说明售后和补款规则。,True,synthetic_persona,20260903,False,core_buyer
SYN-0019,SYN-U-0019,2026-09-03 03:13:00+00:00,True,simulated_weibo,323,v2.2-synthetic,official_or_licensed_only,A,23～26岁,新一线,1,46,340,True,2180,8,青年玩家,凛御银灰,新约能天使,赤刃明霄陈,凛御银灰,通行证,3,46,淘宝,5,实用功能|视觉设计或立绘表现|收藏完整度,运费偏高|价格偏高|已有同类商品过多,4,5,3,27,21,37,53,76,3,3,更愿意购买有实用性的联名商品，不希望只换图重复销售。,希望官方增加实物细节图，并说明售后和补款规则。,True,synthetic_persona,20260903,False,core_buyer
SYN-0020,SYN-U-0020,2026-09-03 03:21:00+00:00,True,simulated_weibo,185,v2.2-synthetic,official_or_licensed_only,A,36岁及以上,二线,12,59,150,False,0,0,青年玩家,贝洛内,余,怒潮凛冬,贝洛内,装饰摆件,1,71,其他,4,支持IP或创作者|实用功能,价格偏高|售后不便|设计不符合预期,4,4,4,50,39,62,93,123,1,4,希望角色立绘还原准确，材质和尺寸说明写清楚。,,True,synthetic_persona,20260903,False,observer
SYN-0021,SYN-U-0021,2026-09-03 03:27:00+00:00,True,simulated_player_community,258,v2.2-synthetic,official_or_licensed_only,B,18～22岁,新一线,28,3,60,True,90,2,大学生玩家,凯尔希·思衡托,重岳,黍,凯尔希·思衡托,吧唧（徽章）,4,23,官方商城,3,视觉设计或立绘表现|喜爱角色|支持IP或创作者,预售周期过长|价格偏高,5,5,4,30,10,18,26,40,5,3,价格合理的情况下，希望同系列角色能够持续补全。,希望角色立绘还原准确，材质和尺寸说明写清楚。,True,synthetic_persona,20260903,False,occasional_buyer
SYN-0022,SYN-U-0022,2026-09-03 03:38:00+00:00,True,simulated_bilibili,235,v2.2-synthetic,official_or_licensed_only,B,18～22岁,新一线,16,41,50,False,0,0,大学生玩家,佩佩,望,凯尔希·思衡托,佩佩,装饰摆件,3,49,官方商城,2,喜爱角色|支持IP或创作者|限定或联名属性,品质或材质不确定|设计不符合预期,4,4,3,51,22,43,58,72,4,2,价格合理的情况下，希望同系列角色能够持续补全。,希望官方增加实物细节图，并说明售后和补款规则。,True,synthetic_persona,20260903,False,observer
SYN-0023,SYN-U-0023,2026-09-03 03:43:00+00:00,True,simulated_bilibili,379,v2.2-synthetic,official_or_licensed_only,B,18～22岁,新一线,21,3,60,True,200,5,大学生玩家,佩佩,结城理,余,佩佩,吧唧（徽章）,3,24,官方商城,4,喜爱角色|视觉设计或立绘表现,价格偏高|发货进度不透明,5,5,3,41,10,21,31,46,3,3,,价格合理的情况下，希望同系列角色能够持续补全。,True,synthetic_persona,20260903,False,core_buyer
SYN-0024,SYN-U-0024,2026-09-03 03:48:00+00:00,True,simulated_bilibili,281,v2.2-synthetic,official_or_licensed_only,B,18～22岁,三线及以下,27,52,90,True,420,10,大学生玩家,凛御银灰,贝洛内,死芒,凛御银灰,亚克力制品,4,63,淘宝,4,收藏完整度|喜爱角色|视觉设计或立绘表现,商品缺乏实用性|运费偏高,4,5,3,36,25,53,72,96,4,3,希望角色立绘还原准确，材质和尺寸说明写清楚。,更愿意购买有实用性的联名商品，不希望只换图重复销售。,True,synthetic_persona,20260903,False,core_buyer
SYN-0025,SYN-U-0025,2026-09-03 03:55:00+00:00,True,simulated_player_community,260,v2.2-synthetic,official_or_licensed_only,A,18～22岁,一线,18,21,50,False,0,0,大学生玩家,维娜·维多利亚,塑心,余,维娜·维多利亚,吧唧（徽章）,3,21,淘宝,4,限定或联名属性|喜爱角色,设计不符合预期|预售周期过长|商品缺乏实用性,3,4,4,20,10,19,27,41,4,3,可以先做小批量预售，并及时同步生产和发货进度。,,True,synthetic_persona,20260903,False,observer
SYN-0026,SYN-U-0026,2026-09-03 04:03:00+00:00,True,simulated_bilibili,358,v2.2-synthetic,official_or_licensed_only,A,18～22岁,三线及以下,21,62,80,True,280,4,大学生玩家,Mon3tr,凯尔希·思衡托,结城理,Mon3tr,亚克力制品,4,62,其他,3,支持IP或创作者|价格与性价比,品质或材质不确定|价格偏高|设计不符合预期,4,4,2,53,35,52,82,117,4,3,更愿意购买有实用性的联名商品，不希望只换图重复销售。,,True,synthetic_persona,20260903,False,core_buyer
SYN-0027,SYN-U-0027,2026-09-03 04:11:00+00:00,True,simulated_weibo,290,v2.2-synthetic,official_or_licensed_only,B,31～35岁,三线及以下,13,63,170,True,720,7,青年玩家,维娜·维多利亚,酒神,凯尔希·思衡托,维娜·维多利亚,通行证,3,49,淘宝,4,限定或联名属性|支持IP或创作者,品质或材质不确定|运费偏高,4,5,3,32,28,44,55,73,3,3,价格合理的情况下，希望同系列角色能够持续补全。,价格合理的情况下，希望同系列角色能够持续补全。,True,synthetic_persona,20260903,False,core_buyer
SYN-0028,SYN-U-0028,2026-09-03 04:19:00+00:00,True,simulated_bilibili,394,v2.2-synthetic,official_or_licensed_only,B,18～22岁,一线,30,61,70,True,80,5,大学生玩家,予愿安洁莉娜,死芒,黍,予愿安洁莉娜,手办模玩,4,384,品牌直播间,4,收藏完整度|喜爱角色|支持IP或创作者,价格偏高|预售周期过长,4,5,4,234,222,346,467,707,4,4,可以先做小批量预售，并及时同步生产和发货进度。,希望角色立绘还原准确，材质和尺寸说明写清楚。,True,synthetic_persona,20260903,False,core_buyer
SYN-0029,SYN-U-0029,2026-09-03 04:27:00+00:00,True,simulated_weibo,390,v2.2-synthetic,official_or_licensed_only,A,18～22岁,二线,27,37,120,True,260,6,大学生玩家,望,娜斯提,Mon3tr,望,通行证,5,55,官方商城,4,实用功能|喜爱角色|社交展示或社区认同,售后不便|预售周期过长,5,4,4,31,20,43,69,106,5,4,希望角色立绘还原准确，材质和尺寸说明写清楚。,希望角色立绘还原准确，材质和尺寸说明写清楚。,True,synthetic_persona,20260903,False,core_buyer
SYN-0030,SYN-U-0030,2026-09-03 04:32:00+00:00,True,simulated_player_community,314,v2.2-synthetic,official_or_licensed_only,B,18～22岁,三线及以下,16,32,130,True,620,6,大学生玩家,怒潮凛冬,Mon3tr,贝洛内,怒潮凛冬,亚克力制品,3,53,官方商城,3,限定或联名属性|喜爱角色|视觉设计或立绘表现,设计不符合预期|价格偏高|运费偏高,3,4,3,42,25,45,70,100,2,3,可以先做小批量预售，并及时同步生产和发货进度。,价格合理的情况下，希望同系列角色能够持续补全。,True,synthetic_persona,20260903,False,core_buyer
SYN-0031,SYN-U-0031,2026-09-03 04:39:00+00:00,True,simulated_player_community,339,v2.2-synthetic,official_or_licensed_only,B,18～22岁,三线及以下,15,29,200,False,0,0,大学生玩家,谬因,纯烬艾雅法拉,死芒,谬因,日用生活,3,97,淘宝,4,喜爱角色|支持IP或创作者|价格与性价比,运费偏高|已有同类商品过多,5,4,3,56,38,82,112,172,4,3,可以先做小批量预售，并及时同步生产和发货进度。,更愿意购买有实用性的联名商品，不希望只换图重复销售。,True,synthetic_persona,20260903,False,observer
SYN-0032,SYN-U-0032,2026-09-03 04:44:00+00:00,True,simulated_player_community,394,v2.2-synthetic,official_or_licensed_only,A,18～22岁,二线,30,40,100,True,280,6,大学生玩家,归溟幽灵鲨,焰狐龙梓兰,Mon3tr,归溟幽灵鲨,亚克力制品,4,58,淘宝,4,收藏完整度|喜爱角色|支持IP或创作者,价格偏高|运费偏高|预售周期过长,3,5,5,42,29,51,73,95,4,4,更愿意购买有实用性的联名商品，不希望只换图重复销售。,希望官方增加实物细节图，并说明售后和补款规则。,True,synthetic_persona,20260903,False,core_buyer
SYN-0033,SYN-U-0033,2026-09-03 04:53:00+00:00,True,simulated_weibo,367,v2.2-synthetic,official_or_licensed_only,B,31～35岁,一线,25,83,130,True,730,5,青年玩家,纯烬艾雅法拉,望,归溟幽灵鲨,纯烬艾雅法拉,吧唧（徽章）,3,21,B站会员购,5,限定或联名属性|价格与性价比|视觉设计或立绘表现,设计不符合预期|运费偏高,4,5,3,44,8,18,24,34,3,4,希望官方增加实物细节图，并说明售后和补款规则。,希望官方增加实物细节图，并说明售后和补款规则。,True,synthetic_persona,20260903,False,core_buyer
SYN-0034,SYN-U-0034,2026-09-03 05:01:00+00:00,True,simulated_player_community,226,v2.2-synthetic,official_or_licensed_only,A,18～22岁,三线及以下,30,38,200,False,0,0,大学生玩家,佩佩,死芒,贝洛内,佩佩,吧唧（徽章）,3,19,淘宝,4,喜爱角色|收藏完整度|实用功能,品质或材质不确定|发货进度不透明,5,4,4,21,9,17,21,30,3,2,价格合理的情况下，希望同系列角色能够持续补全。,可以先做小批量预售，并及时同步生产和发货进度。,True,synthetic_persona,20260903,False,observer
SYN-0035,SYN-U-0035,2026-09-03 05:05:00+00:00,True,simulated_bilibili,274,v2.2-synthetic,official_or_licensed_only,A,36岁及以上,三线及以下,20,69,110,True,760,3,青年玩家,赤刃明霄陈,塑心,斩业星熊,赤刃明霄陈,日用生活,4,126,淘宝,5,实用功能|喜爱角色|收藏完整度,设计不符合预期|已有同类商品过多|品质或材质不确定,4,4,3,75,54,99,152,208,4,3,希望官方增加实物细节图，并说明售后和补款规则。,可以先做小批量预售，并及时同步生产和发货进度。,True,synthetic_persona,20260903,False,core_buyer
SYN-0036,SYN-U-0036,2026-09-03 05:12:00+00:00,True,simulated_weibo,339,v2.2-synthetic,official_or_licensed_only,B,18～22岁,一线,25,54,200,False,0,0,大学生玩家,贝洛内,Mon3tr,纯烬艾雅法拉,贝洛内,亚克力制品,4,53,品牌直播间,3,支持IP或创作者|视觉设计或立绘表现,设计不符合预期|价格偏高,4,4,3,45,21,43,64,91,4,4,可以先做小批量预售，并及时同步生产和发货进度。,希望角色立绘还原准确，材质和尺寸说明写清楚。,True,synthetic_persona,20260903,False,potential_buyer
SYN-0037,SYN-U-0037,2026-09-03 05:23:00+00:00,True,simulated_player_community,458,v2.2-synthetic,official_or_licensed_only,B,31～35岁,新一线,16,70,100,False,0,0,青年玩家,余,归溟幽灵鲨,佩佩,余,亚克力制品,3,56,线下展会或快闪店,3,喜爱角色|限定或联名属性|视觉设计或立绘表现,商品缺乏实用性|价格偏高,4,4,4,33,30,45,63,79,2,3,,希望角色立绘还原准确，材质和尺寸说明写清楚。,True,synthetic_persona,20260903,False,observer
SYN-0038,SYN-U-0038,2026-09-03 05:27:00+00:00,True,simulated_player_community,272,v2.2-synthetic,official_or_licensed_only,B,18～22岁,二线,28,75,100,False,0,0,大学生玩家,凯尔希·思衡托,娜斯提,维娜·维多利亚,凯尔希·思衡托,亚克力制品,4,55,官方商城,3,价格与性价比|收藏完整度|社交展示或社区认同,已有同类商品过多|设计不符合预期,4,4,3,38,30,48,74,108,4,4,希望角色立绘还原准确，材质和尺寸说明写清楚。,希望官方增加实物细节图，并说明售后和补款规则。,True,synthetic_persona,20260903,False,potential_buyer
SYN-0039,SYN-U-0039,2026-09-03 05:35:00+00:00,True,simulated_player_community,203,v2.2-synthetic,official_or_licensed_only,B,18～22岁,一线,24,64,50,True,90,1,大学生玩家,真言,重岳,斩业星熊,真言,吧唧（徽章）,4,23,其他,3,视觉设计或立绘表现|社交展示或社区认同,已有同类商品过多|商品缺乏实用性,4,4,4,35,13,21,29,40,5,3,更愿意购买有实用性的联名商品，不希望只换图重复销售。,希望官方增加实物细节图，并说明售后和补款规则。,True,synthetic_persona,20260903,False,occasional_buyer
SYN-0040,SYN-U-0040,2026-09-03 05:44:00+00:00,True,simulated_bilibili,256,v2.2-synthetic,official_or_licensed_only,A,18～22岁,一线,25,3,110,True,920,7,大学生玩家,望,塑心,Mon3tr,望,亚克力制品,4,66,官方商城,4,价格与性价比|视觉设计或立绘表现,运费偏高|售后不便|预售周期过长,5,4,4,67,38,57,82,117,4,4,希望官方增加实物细节图，并说明售后和补款规则。,更愿意购买有实用性的联名商品，不希望只换图重复销售。,True,synthetic_persona,20260903,False,core_buyer
SYN-0041,SYN-U-0041,2026-09-03 05:48:00+00:00,True,simulated_player_community,245,v2.2-synthetic,official_or_licensed_only,A,18～22岁,新一线,17,48,50,True,80,2,大学生玩家,赤刃明霄陈,死芒,新约能天使,赤刃明霄陈,通行证,5,57,淘宝,3,视觉设计或立绘表现|喜爱角色,设计不符合预期|商品缺乏实用性,4,5,4,55,25,51,71,90,5,3,价格合理的情况下，希望同系列角色能够持续补全。,,True,synthetic_persona,20260903,False,occasional_buyer
SYN-0042,SYN-U-0042,2026-09-03 05:58:00+00:00,True,simulated_weibo,321,v2.2-synthetic,official_or_licensed_only,B,18～22岁,一线,26,51,110,True,310,5,大学生玩家,佩佩,重岳,缄默德克萨斯,佩佩,亚克力制品,3,60,官方商城,4,支持IP或创作者|喜爱角色|社交展示或社区认同,运费偏高|发货进度不透明,5,4,3,57,26,51,69,88,4,2,价格合理的情况下，希望同系列角色能够持续补全。,希望官方增加实物细节图，并说明售后和补款规则。,True,synthetic_persona,20260903,False,core_buyer
SYN-0043,SYN-U-0043,2026-09-03 06:01:00+00:00,True,simulated_bilibili,282,v2.2-synthetic,official_or_licensed_only,B,18～22岁,三线及以下,28,28,80,True,240,3,大学生玩家,娜斯提,Mon3tr,死芒,娜斯提,毛绒玩偶,4,92,线下展会或快闪店,4,支持IP或创作者|收藏完整度|视觉设计或立绘表现,商品缺乏实用性|发货进度不透明,5,5,3,75,41,73,101,146,5,4,,希望角色立绘还原准确，材质和尺寸说明写清楚。,True,synthetic_persona,20260903,False,occasional_buyer
SYN-0044,SYN-U-0044,2026-09-03 06:11:00+00:00,True,simulated_bilibili,297,v2.2-synthetic,official_or_licensed_only,A,18～22岁,三线及以下,16,24,150,False,0,0,大学生玩家,结城理,荒芜拉普兰德,黍,结城理,吧唧（徽章）,2,18,淘宝,2,实用功能|收藏完整度|社交展示或社区认同,设计不符合预期|价格偏高,5,5,4,22,9,14,24,34,2,4,价格合理的情况下，希望同系列角色能够持续补全。,更愿意购买有实用性的联名商品，不希望只换图重复销售。,True,synthetic_persona,20260903,False,observer
SYN-0045,SYN-U-0045,2026-09-03 06:20:00+00:00,True,simulated_bilibili,291,v2.2-synthetic,official_or_licensed_only,A,18～22岁,新一线,22,42,100,False,0,0,大学生玩家,怒潮凛冬,望,新约能天使,怒潮凛冬,装饰摆件,4,80,淘宝,4,实用功能|视觉设计或立绘表现,价格偏高|运费偏高,5,4,3,55,35,66,94,137,4,4,价格合理的情况下，希望同系列角色能够持续补全。,希望官方增加实物细节图，并说明售后和补款规则。,True,synthetic_persona,20260903,False,potential_buyer
SYN-0046,SYN-U-0046,2026-09-03 06:23:00+00:00,True,simulated_weibo,144,v2.2-synthetic,official_or_licensed_only,B,23～26岁,二线,20,56,80,True,180,6,青年玩家,真言,予愿安洁莉娜,司霆惊蛰,真言,毛绒玩偶,4,92,官方商城,3,视觉设计或立绘表现|限定或联名属性,设计不符合预期|商品缺乏实用性|运费偏高,5,5,2,63,40,83,103,148,4,4,可以先做小批量预售，并及时同步生产和发货进度。,希望角色立绘还原准确，材质和尺寸说明写清楚。,True,synthetic_persona,20260903,False,core_buyer
SYN-0047,SYN-U-0047,2026-09-03 06:34:00+00:00,True,simulated_weibo,307,v2.2-synthetic,official_or_licensed_only,A,18～22岁,三线及以下,20,43,100,False,0,0,大学生玩家,凛御银灰,荒芜拉普兰德,望,凛御银灰,亚克力制品,3,49,B站会员购,5,视觉设计或立绘表现|收藏完整度|喜爱角色,售后不便|预售周期过长|运费偏高,5,4,2,35,28,44,64,81,3,3,希望角色立绘还原准确，材质和尺寸说明写清楚。,,True,synthetic_persona,20260903,False,observer
SYN-0048,SYN-U-0048,2026-09-03 06:37:00+00:00,True,simulated_weibo,403,v2.2-synthetic,official_or_licensed_only,A,18～22岁,二线,14,22,60,True,350,7,大学生玩家,凯尔希·思衡托,焰狐龙梓兰,予愿安洁莉娜,凯尔希·思衡托,通行证,4,54,官方商城,4,喜爱角色|限定或联名属性|支持IP或创作者,价格偏高|发货进度不透明|预售周期过长,5,5,2,29,28,47,65,100,5,2,希望角色立绘还原准确，材质和尺寸说明写清楚。,,True,synthetic_persona,20260903,False,core_buyer
SYN-0049,SYN-U-0049,2026-09-03 06:46:00+00:00,True,simulated_weibo,280,v2.2-synthetic,official_or_licensed_only,B,27～30岁,新一线,20,34,100,True,400,6,青年玩家,Mon3tr,斩业星熊,新约能天使,Mon3tr,吧唧（徽章）,4,21,淘宝,3,收藏完整度|视觉设计或立绘表现,设计不符合预期|预售周期过长,4,4,4,40,10,19,28,38,4,3,可以先做小批量预售，并及时同步生产和发货进度。,价格合理的情况下，希望同系列角色能够持续补全。,True,synthetic_persona,20260903,False,core_buyer
SYN-0050,SYN-U-0050,2026-09-03 06:53:00+00:00,True,simulated_player_community,189,v2.2-synthetic,official_or_licensed_only,A,18～22岁,新一线,14,41,240,True,1200,8,大学生玩家,Mon3tr,余,纯烬艾雅法拉,Mon3tr,吧唧（徽章）,3,24,淘宝,5,限定或联名属性|喜爱角色,品质或材质不确定|价格偏高|发货进度不透明,4,4,3,48,11,21,29,43,3,2,希望官方增加实物细节图，并说明售后和补款规则。,价格合理的情况下，希望同系列角色能够持续补全。,True,synthetic_persona,20260903,False,core_buyer
